phylum,class,order,trophic_level
Ascomycota,Dipodascomycetes,Dipodascales,NA
Ascomycota,Dothideomycetes,Cladosporiales,NA
Ascomycota,Dothideomycetes,Dothideales,NA
Ascomycota,Dothideomycetes,Mycosphaerellales,NA
Ascomycota,Dothideomycetes,Pleosporales,NA
Ascomycota,Eurotiomycetes,Chaetothyriales,NA
Ascomycota,Eurotiomycetes,Eurotiales,NA
Ascomycota,Eurotiomycetes,Onygenales,NA
Ascomycota,Lecanoromycetes,Lecanorales,NA
Ascomycota,Leotiomycetes,Chaetomellales,NA
Ascomycota,Leotiomycetes,Erysiphales,NA
Ascomycota,Leotiomycetes,Helotiales,NA
Ascomycota,Leotiomycetes,NA,NA
Ascomycota,Leotiomycetes,Thelebolales,NA
Ascomycota,NA,NA,NA
Ascomycota,Pichiomycetes,Pichiales,NA
Ascomycota,Pichiomycetes,Serinales,NA
Ascomycota,Saccharomycetes,Phaffomycetales,NA
Ascomycota,Saccharomycetes,Saccharomycetales,NA
Ascomycota,Sordariomycetes,Amphisphaeriales,NA
Ascomycota,Sordariomycetes,Diaporthales,NA
Ascomycota,Sordariomycetes,Glomerellales,NA
Ascomycota,Sordariomycetes,Hypocreales,NA
Ascomycota,Sordariomycetes,Magnaporthales,NA
Ascomycota,Sordariomycetes,Microascales,NA
Ascomycota,Sordariomycetes,NA,NA
Ascomycota,Sordariomycetes,Ophiostomatales,NA
Ascomycota,Sordariomycetes,Sordariales,NA
Ascomycota,Sordariomycetes,Xylariales,NA
Ascomycota,Taphrinomycetes,Taphrinales,NA
Bacillariophyta,Bacillariophyceae,Bacillariales,NA
Bacillariophyta,Bacillariophyceae,Cymbellales,NA
Bacillariophyta,Bacillariophyceae,Naviculales,NA
Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,NA
Bacillariophyta,Coscinodiscophyceae,Melosirales,NA
Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,NA
Bacillariophyta,Coscinodiscophyceae,Stephanodiscales,NA
Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,NA
Bacillariophyta,Fragilariophyceae,Licmophorales,NA
Bacillariophyta,Mediophyceae,Cymatosirales,NA
Bacillariophyta,Mediophyceae,Lithodesmiales,NA
Bacillota,Bacilli,Lactobacillales,NA
Basidiomycota,Agaricomycetes,Agaricales,NA
Basidiomycota,Agaricomycetes,Boletales,NA
Basidiomycota,Agaricomycetes,Cantharellales,NA
Basidiomycota,Agaricomycetes,Hymenochaetales,NA
Basidiomycota,Agaricomycetes,Russulales,NA
Basidiomycota,Cystobasidiomycetes,Cystobasidiales,NA
Basidiomycota,Exobasidiomycetes,Exobasidiales,NA
Basidiomycota,Malasseziomycetes,Malasseziales,NA
Basidiomycota,Microbotryomycetes,Sporidiobolales,NA
Basidiomycota,Pucciniomycetes,Pucciniales,NA
Basidiomycota,Tremellomycetes,Tremellales,NA
Basidiomycota,Tremellomycetes,Trichosporonales,NA
Basidiomycota,Ustilaginomycetes,Ustilaginales,NA
Blastocladiomycota,Blastocladiomycetes,Blastocladiales,NA
Bryozoa,Gymnolaemata,Ctenostomatida,NA
Cercozoa,Imbricatea,Euglyphida,NA
Chlorophyta,Chlorophyceae,Chlamydomonadales,NA
Chlorophyta,Chlorophyceae,Chlorosarcinales,NA
Chlorophyta,Chlorophyceae,Sphaeropleales,NA
Chlorophyta,Chloropicophyceae,Chloropicales,NA
Chlorophyta,Mamiellophyceae,Mamiellales,NA
Chlorophyta,Mamiellophyceae,Monomastigales,NA
Chlorophyta,Nephroselmidophyceae,Nephroselmidales,NA
Chlorophyta,Pedinophyceae,Pedinomonadales,NA
Chlorophyta,Picocystophyceae,Picocystales,NA
Chlorophyta,Trebouxiophyceae,Chlorellales,NA
Chlorophyta,Trebouxiophyceae,NA,NA
Chlorophyta,Trebouxiophyceae,Prasiolales,NA
Chlorophyta,Trebouxiophyceae,Trebouxiales,NA
Chlorophyta,Trebouxiophyceae,Watanabeales,NA
Chlorophyta,Trebouxiophyceae,order_Coccomyxaceae,NA
Chlorophyta,Trebouxiophyceae,order_family_Botryococcus,NA
Chordata,Actinopteri,Argentiniformes,NA
Chordata,Actinopteri,Atheriniformes,NA
Chordata,Actinopteri,Blenniiformes,NA
Chordata,Actinopteri,Caproiformes,NA
Chordata,Actinopteri,Carangiformes,NA
Chordata,Actinopteri,Characiformes,NA
Chordata,Actinopteri,Cichliformes,NA
Chordata,Actinopteri,Clupeiformes,NA
Chordata,Actinopteri,Cypriniformes,NA
Chordata,Actinopteri,Cyprinodontiformes,NA
Chordata,Actinopteri,Esociformes,NA
Chordata,Actinopteri,Gadiformes,NA
Chordata,Actinopteri,Gobiiformes,NA
Chordata,Actinopteri,Labriformes,NA
Chordata,Actinopteri,Lophiiformes,NA
Chordata,Actinopteri,Lutjaniformes,NA
Chordata,Actinopteri,Mugiliformes,NA
Chordata,Actinopteri,NA,NA
Chordata,Actinopteri,Ophidiiformes,NA
Chordata,Actinopteri,Perciformes,NA
Chordata,Actinopteri,Pleuronectiformes,NA
Chordata,Actinopteri,Priacanthiformes,NA
Chordata,Actinopteri,Siluriformes,NA
Chordata,Actinopteri,Spariformes,NA
Chordata,Actinopteri,Trachichthyiformes,NA
Chordata,Amphibia,Anura,NA
Chordata,Amphibia,Caudata,NA
Chordata,Ascidiacea,Aplousobranchia,NA
Chordata,Ascidiacea,Stolidobranchia,NA
Chordata,Aves,Columbiformes,NA
Chordata,Aves,Galliformes,NA
Chordata,Aves,Passeriformes,NA
Chordata,Aves,Pelecaniformes,NA
Chordata,Chondrichthyes,Chimaeriformes,NA
Chordata,Chondrichthyes,Squaliformes,NA
Chordata,Lepidosauria,Squamata,NA
Chordata,Mammalia,Artiodactyla,NA
Chordata,Mammalia,Carnivora,NA
Chordata,Mammalia,Chiroptera,NA
Chordata,Mammalia,Eulipotyphla,NA
Chordata,Mammalia,Primates,NA
Chordata,Mammalia,Rodentia,NA
Chordata,NA,NA,NA
Chordata,Thaliacea,Salpida,NA
Chytridiomycota,Chytridiomycetes,Synchytriales,NA
Chytridiomycota,Monoblepharidomycetes,Monoblepharidales,NA
Ciliophora,Heterotrichea,Heterotrichida,NA
Ciliophora,Oligohymenophorea,NA,NA
Ciliophora,Oligohymenophorea,Philasterida,NA
Ciliophora,Oligohymenophorea,Sessilida,NA
Ciliophora,Spirotrichea,Sporadotrichida,NA
Cnidaria,Anthozoa,Actiniaria,NA
Cnidaria,Anthozoa,Alcyonacea,NA
Cnidaria,Anthozoa,Penicillaria,NA
Cnidaria,Anthozoa,Penicillaria (in: tube anenomes),NA
Cnidaria,Anthozoa,Scleractinia,NA
Cnidaria,Anthozoa,Scleralcyonacea,NA
Cnidaria,Anthozoa,Zoantharia,NA
Cnidaria,Cubozoa,Carybdeida,NA
Cnidaria,Hydrozoa,Anthoathecata,NA
Cnidaria,Hydrozoa,Leptothecata,NA
Cnidaria,Hydrozoa,Limnomedusae,NA
Cnidaria,Hydrozoa,NA,NA
Cnidaria,Hydrozoa,Siphonophorae,NA
Cnidaria,Hydrozoa,Trachymedusae,NA
Cnidaria,NA,NA,NA
Cnidaria,Scyphozoa,Coronatae,NA
Cnidaria,Scyphozoa,NA,NA
Cnidaria,Scyphozoa,Rhizostomeae,NA
Cnidaria,Scyphozoa,Semaeostomeae,NA
Cnidaria,Staurozoa,Stauromedusae,NA
Discosea,Flabellinia,Dactylopodida,NA
Discosea,Flabellinia,NA,NA
Discosea,Flabellinia,order_Vannellidae,NA
Discosea,NA,Himatismenida,NA
Discosea,NA,Longamoebia,NA
Discosea,class_Longamoebia,Longamoebia,NA
Echinodermata,Asteroidea,Forcipulatida,NA
Echinodermata,Asteroidea,Paxillosida,NA
Echinodermata,Asteroidea,Valvatida,NA
Echinodermata,Crinoidea,Comatulida,NA
Echinodermata,Echinoidea,Camarodonta,NA
Echinodermata,Echinoidea,Echinothurioida,NA
Echinodermata,Echinoidea,Spatangoida,NA
Echinodermata,Holothuroidea,Aspidochirotida,NA
Echinodermata,Holothuroidea,Elasipodida,NA
Echinodermata,Ophiuroidea,Amphilepidida,NA
Echinodermata,Ophiuroidea,NA,NA
Evosea,Eumycetozoa,Physariida,NA
Evosea,Eumycetozoa,Stemonitida,NA
Evosea,Eumycetozoa,Trichiida,NA
Gastrotricha,class_Chaetonotida,Chaetonotida,NA
Haptophyta,NA,Pavlovales,NA
Haptophyta,NA,Prymnesiales,NA
Hemichordata,Enteropneusta,NA,NA
Heterolobosea,NA,NA,NA
Mollusca,Bivalvia,Unionida,NA
Mollusca,Bivalvia,Venerida,NA
Mollusca,Cephalopoda,Myopsida,NA
Mollusca,Cephalopoda,Octopoda,NA
Mollusca,Cephalopoda,Oegopsida,NA
Mollusca,Gastropoda,Acochlidiacea,NA
Mollusca,Gastropoda,Aplysiida,NA
Mollusca,Gastropoda,Architaenioglossa,NA
Mollusca,Gastropoda,Cephalaspidea,NA
Mollusca,Gastropoda,Cycloneritida,NA
Mollusca,Gastropoda,Ellobiida,NA
Mollusca,Gastropoda,Littorinimorpha,NA
Mollusca,Gastropoda,NA,NA
Mollusca,Gastropoda,Neogastropoda,NA
Mollusca,Gastropoda,Nudibranchia,NA
Mollusca,Gastropoda,Pteropoda,NA
Mollusca,Gastropoda,Siphonariida,NA
Mollusca,Gastropoda,Stylommatophora,NA
Mollusca,Gastropoda,Systellommatophora,NA
Mollusca,Gastropoda,order_Pachychilidae,NA
Mucoromycota,Mucoromycetes,Mucorales,NA
NA,Bigyra,Bicosoecida,NA
NA,Bigyra,Thraustochytrida,NA
NA,Chrysophyceae,Chromulinales,NA
NA,Cryptophyceae,Cryptomonadales,NA
NA,Cryptophyceae,Pyrenomonadales,NA
NA,Dinophyceae,Gonyaulacales,NA
NA,Dinophyceae,Gymnodiniales,NA
NA,Dinophyceae,Peridiniales,NA
NA,Dinophyceae,Suessiales,NA
NA,Dinophyceae,Thoracosphaerales,NA
NA,Eustigmatophyceae,Eustigmatales,NA
NA,NA,Jakobida,NA
NA,NA,NA,NA
NA,Pelagophyceae,Pelagomonadales,NA
NA,Phaeophyceae,Cutleriales,NA
NA,Phaeophyceae,Dictyotales,NA
NA,Phaeophyceae,Ectocarpales,NA
NA,Phaeophyceae,Fucales,NA
NA,Phaeophyceae,Laminariales,NA
NA,Phaeophyceae,NA,NA
NA,Phaeophyceae,Ralfsiales,NA
NA,Phaeophyceae,Scytothamnales,NA
NA,Phaeophyceae,Sphacelariales,NA
NA,Phaeophyceae,Tilopteridales,NA
NA,Synurophyceae,Ochromonadales,NA
NA,Synurophyceae,Synurales,NA
NA,Xanthophyceae,Tribonematales,NA
Nematoda,Chromadorea,Rhabditida,NA
Nematoda,NA,NA,NA
Nemertea,Enopla,Bdellonemertea,NA
Nemertea,Enopla,Monostilifera,NA
Nemertea,Palaeonemertea,Tubulaniformes,NA
Nemertea,Pilidiophora,Heteronemertea,NA
Oomycota,NA,Albuginales,NA
Oomycota,NA,Lagenidiales,NA
Oomycota,NA,NA,NA
Oomycota,NA,Peronosporales,NA
Oomycota,NA,Pythiales,NA
Oomycota,NA,Saprolegniales,NA
Oomycota,class_Albuginales,Albuginales,NA
Oomycota,class_Peronosporales,Peronosporales,NA
Oomycota,class_Pythiales,Pythiales,NA
Oomycota,class_Saprolegniales,Saprolegniales,NA
Platyhelminthes,Catenulida,NA,NA
Platyhelminthes,Rhabditophora,Macrostomida,NA
Platyhelminthes,Rhabditophora,Tricladida,NA
Platyhelminthes,Trematoda,Plagiorchiida,NA
Porifera,Demospongiae,Agelasida,NA
Porifera,Demospongiae,Axinellida,NA
Porifera,Demospongiae,Bubarida,NA
Porifera,Demospongiae,Clionaida,NA
Porifera,Demospongiae,Haplosclerida,NA
Porifera,Demospongiae,NA,NA
Porifera,Demospongiae,Poecilosclerida,NA
Porifera,Demospongiae,Spongillida,NA
Porifera,Demospongiae,Suberitida,NA
Porifera,Demospongiae,Tetractinellida,NA
Porifera,Demospongiae,Verongiida,NA
Porifera,Hexactinellida,Amphidiscosida,NA
Porifera,Hexactinellida,Lyssacinosida,NA
Porifera,Hexactinellida,Sceptrulophora,NA
Porifera,Homoscleromorpha,Homosclerophorida,NA
Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,NA
Proteobacteria,Alphaproteobacteria,Pelagibacterales,NA
Proteobacteria,Alphaproteobacteria,Rickettsiales,NA
Pseudomonadota,Betaproteobacteria,Burkholderiales,NA
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,NA
Rhodophyta,Bangiophyceae,Bangiales,Producer
Rhodophyta,Florideophyceae,Acrochaetiales,Producer
Rhodophyta,Florideophyceae,Batrachospermales,Producer
Rhodophyta,Florideophyceae,Bonnemaisoniales,Producer
Rhodophyta,Florideophyceae,Ceramiales,Producer
Rhodophyta,Florideophyceae,Corallinales,Producer
Rhodophyta,Florideophyceae,Gelidiales,Producer
Rhodophyta,Florideophyceae,Gigartinales,Producer
Rhodophyta,Florideophyceae,Gracilariales,Producer
Rhodophyta,Florideophyceae,Halymeniales,Producer
Rhodophyta,Florideophyceae,NA,Producer
Rhodophyta,Florideophyceae,Plocamiales,Producer
Rhodophyta,Florideophyceae,Rhodymeniales,Producer
Rhodophyta,Florideophyceae,Sebdeniales,Producer
Rhodophyta,Florideophyceae,Thoreales,Producer
Rotifera,Eurotatoria,Adinetida,NA
Rotifera,Eurotatoria,Flosculariaceae,NA
Rotifera,Eurotatoria,NA,NA
Rotifera,Eurotatoria,Philodinida,NA
Rotifera,Eurotatoria,Ploima,NA
Rotifera,Eurotatoria,order_family_Rotaria,NA
Streptophyta,Chlorokybophyceae,Chlorokybales,NA
Streptophyta,Magnoliopsida,Lamiales,NA
Streptophyta,Mesostigmatophyceae,Mesostigmatales,NA
Tubulinea,Echinamoebida,NA,NA
Tubulinea,Elardia,Arcellinida,NA
Tubulinea,Elardia,Euamoebida,NA
Zoopagomycota,Entomophthoromycetes,Entomophthorales,NA
phylum_Bigyra,Bigyra,Thraustochytrida,NA
phylum_Chrysophyceae,Chrysophyceae,Chromulinales,NA
phylum_Cryptophyceae,Cryptophyceae,Pyrenomonadales,NA
phylum_Eustigmatophyceae,Eustigmatophyceae,Eustigmatales,NA
phylum_Eustigmatophyceae,Eustigmatophyceae,Goniochloridales,NA
phylum_Synurophyceae,Synurophyceae,Synurales,NA
phylum_Xanthophyceae,Xanthophyceae,Tribonematales,NA
phylum_class_Jakobida,class_Jakobida,Jakobida,NA
